id,codigo_producto,referencia,descripcion,subtipo_anterior,subtipo_nuevo
2686,3.6154.015.0,WOW BRAZO ø102 L 900 GR,BRAZO Ø102MM LONGITUD 900MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2687,3.6155.015.0,WOW BRAZO ø102 L 1500 GR,BRAZO Ø102MM LONGITUD 1500MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2688,3.6156.015.0,WOW BRIDA INTERMEDIA ø102 GR,BRIDA INTERMEDIA Ø102MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2689,3.6157.015.0,WOW BRAZO ø120 L 900 GR,BRAZO Ø120MM LONGITUD 900MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2690,3.6158.015.0,WOW BRAZO ø120 L 1500 GR,BRAZO Ø120MM LONGITUD 1500MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2691,3.6159.015.0,WOW BRIDA INTERMEDIA ø120 GR,BRIDA INTERMEDIA Ø120MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2692,3.6160.015.0,WOW ACCESORIO DE APLIQUES GR,ACCESORIO PARA APLIQUES - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2693,3.6161.015.0,WOW CONTRABRIDA ø102 GR,CONTRABRIDA Ø102MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2694,3.6162.015.0,WOW CONTRABRIDA ø120 GR,CONTRABRIDA Ø120MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2695,3.6163.015.0,UFO ADAPTADOR PARA POSTES ø86 GR,ADAPTADOR PARA POSTES Ø89MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2696,3.6164.015.0,UFO ADAPTADOR PARA POSTES ø114 GR,ADAPTADOR PARA POSTES Ø114MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2697,3.6165.015.0,WOW DOBLE POSTE SUPERIOR ø102,DOBLE POSTE SUPERIOR Ø102MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2698,3.6166.015.0,WOW TRIPLE POSTE SUPERIOR ø102,TRIPLE POSTE SUPERIOR Ø102MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2699,3.6170.001.0,QUICK DALI - TOUCH SLIDE TW,QUICK DALI - DALI TOUCH SLIDE TW  - COLOUR: WHITE,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2700,3.6177.024.0,WOODY CRISTAL DIFUSOR PRISMATICO,CRISTAL DIFUSOR PRISMÁTICO - COLOR: CRISTAL TRANSPARENTE,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2701,3.6178.004.0,WOODY PANTALLA CILINDRICA,PANTALLA CILÍNDRICA - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2702,3.6180.012.0,WOODY REFLECTOR PARA COB LED AL,REFLECTOR INTERCAMBIABLE PARA COB LED MINIWOODY - ÓPTICA DE INUNDACIÓN 28 ° - COLOR: ALUMINIO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2703,3.6181.024.0,WOODY CRISTAL DIFUSOR PRISMATICO TRANS CL,CRISTAL DIFUSOR PRISMÁTICO - COLOR: TRANSPARENTE CLARO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2704,3.6182.004.0,WOODY PANTALLA CILINDRICA BL,PANTALLA CILÍNDRICA: RECOMENDAMOS USARLA JUNTO CON EL CÓDIGO DE VIDRIO PRISMÁTICO DIFUSOR 6181 - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2705,3.6183.012.0,WOODY REFLECTOR PARA COB LED AL,REFLECTORES INTERCAMBIABLES PARA LED C.O.B. - SPOT - COLOR: ALUMINIO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2706,3.6184.012.0,WOODY REFLECTOR PARA COB LED AL,REFLECTORES INTERCAMBIABLES PARA LED C.O.B. - FLOOD - COLOR: ALUMINIO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2707,3.6185.012.0,WOODY REFLECTOR PARA COB LED AL,REFLECTORES INTERCAMBIABLES PARA LED C.O.B. - WIDE FLOOD - COLOR: ALUMINIO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2708,3.6186.024.0,MAXIWOODY CRISTAL DIFUSOR PRISMATICO TRANS CL,CRISTAL DIFUSOR PRISMÁTICO - COLOR: TRANSPARENTE TRANSPARENTE,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2709,3.6187.012.0,MAXIWOODY REFLECTOR PARA COB LED AL,REFLECTORES INTERCAMBIABLES PARA LED C.O.B. - SPOT - COLOR: ALUMINIO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2710,3.6188.012.0,MAXIWOODY REFLECTOR PARA COB LED AL,REFLECTORES INTERCAMBIABLES PARA LED C.O.B. - FLOOD - COLOR: ALUMINIO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2711,3.6189.012.0,MAXIWOODY REFLECTOR PARA COB LED AL,REFLECTORES INTERCAMBIABLES PARA LED C.O.B. - WIDE FLOOD - COLOR: ALUMINIO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2712,3.6190.024.0,MAXIWOODY CRISTAL DIFUSOR PRISMATICO TRANS CL,CRISTAL DIFUSOR PRISMÁTICO - COLOR: TRANSPARENTE CLARO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2713,3.6191.074.0,MAXIWOODY PANTALLA CILINDRICA GR/BL,PANTALLA CILÍNDRICA - COLOR: GRIS / NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2714,3.6192.012.0,MAXIWOODY REFLECTOR PARA COB LED AL,REFLECTORES INTERCAMBIABLES PARA LED C.O.B. - SPOT - COLOR: ALUMINIO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2715,3.6193.012.0,MAXIWOODY REFLECTOR PARA COB LED AL,REFLECTORES INTERCAMBIABLES PARA LED C.O.B. - MEDIUM - COLOR: ALUMINIO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2716,3.6194.012.0,MAXIWOODY REFLECTOR PARA COB LED AL,REFLECTORES INTERCAMBIABLES PARA LED C.O.B. - WIDE FLOOD - COLOR: ALUMINIO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
